Sample ID,Coral ID,Dilution date,PCR 1 date,Gel date,Desired concentration (ng/ul),Qubit value (ng/ul),DNA for dilution (ul),water for dilution (ul),n =,PCR mix (ul),water (ul),F 16S primer (ul),R 16S primer (ul),Annealing temp C,Notes
,2FU39,2/17/21,2/17/21,2/22/21,10,27.30,3.66,6.34,9.45,59.06,25.99,11.81,11.81,50.00,first test of PCR protocol
,4IR11,2/17/21,2/17/21,2/22/21,10,31.80,3.14,6.86,9.45,59.06,25.99,11.81,11.81,50.00,first test of PCR protocol
,9JQ52,2/17/21,2/17/21,2/22/21,10,12.55,7.97,2.03,9.45,59.06,25.99,11.81,11.81,50.00,first test of PCR protocol
,9HS50,N/A,4/2/21,,as is,4.21,N/A,N/A,9.45,59.06,25.99,11.81,11.81,50.00,testing if lower concentrations will work without diluting
,8BY22,N/A,4/2/21,,as is,6.01,N/A,N/A,9.45,59.06,25.99,11.81,11.81,50.00,testing if lower concentrations will work without diluting
,2GT1,N/A,4/2/21,,as is,4.64,N/A,N/A,9.45,59.06,25.99,11.81,11.81,50.00,testing if lower concentrations will work without diluting
,9HS50,N/A,4/9/21,4/14/21,as is,4.21,N/A,N/A,9.45,59.06,25.99,11.81,11.81,50.00,testing if lower concentrations will work without diluting
,8BY22,N/A,4/9/21,4/14/21,as is,6.01,N/A,N/A,9.45,59.06,25.99,11.81,11.81,50.00,testing if lower concentrations will work without diluting
,2GT1,N/A,4/9/21,4/14/21,as is,4.64,N/A,N/A,9.45,59.06,25.99,11.81,11.81,50.00,testing if lower concentrations will work without diluting
,2FU39,5/5/21,5/5/21,5/6/21,10,27.30,3.66,6.34,28.35,177.19,77.96,35.44,35.44,70.00,"gel prduced double bands, tape station"
,4IR11,5/5/21,5/5/21,5/6/21,10,31.80,3.14,6.86,28.35,177.19,77.96,35.44,35.44,70.00,gel prduced double bands
,9JQ52,5/5/21,5/5/21,5/6/21,10,12.55,7.97,2.03,28.35,177.19,77.96,35.44,35.44,70.00,gel prduced double bands
,2FU39,5/5/21,5/5/21,5/6/21,2,27.30,0.73,9.27,28.35,177.19,77.96,35.44,35.44,70.00,"gel prduced double bands, tape station"
,4IR11,5/5/21,5/5/21,5/6/21,2,31.80,0.63,9.37,28.35,177.19,77.96,35.44,35.44,70.00,gel prduced double bands
,9JQ52,5/5/21,5/5/21,5/6/21,2,12.55,1.59,8.41,28.35,177.19,77.96,35.44,35.44,70.00,gel prduced double bands
,9HS50,5/5/21,5/5/21,5/6/21,2,4.21,4.75,5.25,28.35,177.19,77.96,35.44,35.44,70.00,gel prduced double bands
,8BY22,5/5/21,5/5/21,5/6/21,2,6.01,3.33,6.67,28.35,177.19,77.96,35.44,35.44,70.00,gel prduced double bands
,2GT1,5/5/21,5/5/21,5/6/21,2,4.64,4.31,5.69,28.35,177.19,77.96,35.44,35.44,70.00,gel prduced double bands
,2FU39,5/5/21,5/5/21,5/6/21,10,27.30,3.66,6.34,28.35,177.19,77.96,35.44,35.44,72.00,"gel prduced double bands, tape station"
,4IR11,5/5/21,5/5/21,5/6/21,10,31.80,3.14,6.86,28.35,177.19,77.96,35.44,35.44,72.00,gel prduced double bands
,9JQ52,5/5/21,5/5/21,5/6/21,10,12.55,7.97,2.03,28.35,177.19,77.96,35.44,35.44,72.00,gel prduced double bands
,2FU39,5/5/21,5/5/21,5/6/21,2,27.30,0.73,9.27,28.35,177.19,77.96,35.44,35.44,72.00,"gel prduced double bands, tape station"
,4IR11,5/5/21,5/5/21,5/6/21,2,31.80,0.63,9.37,28.35,177.19,77.96,35.44,35.44,72.00,gel prduced double bands
,9JQ52,5/5/21,5/5/21,5/6/21,2,12.55,1.59,8.41,28.35,177.19,77.96,35.44,35.44,72.00,gel prduced double bands
,9HS50,5/5/21,5/5/21,5/6/21,2,4.21,4.75,5.25,28.35,177.19,77.96,35.44,35.44,72.00,gel prduced double bands
,8BY22,5/5/21,5/5/21,5/6/21,2,6.01,3.33,6.67,28.35,177.19,77.96,35.44,35.44,72.00,gel prduced double bands
,2GT1,5/5/21,5/5/21,5/6/21,2,4.64,4.31,5.69,28.35,177.19,77.96,35.44,35.44,72.00,gel prduced double bands
,2FU39,5/11/21,5/11/21,5/12/21,5,27.30,1.83,8.17,18.90,118.13,51.98,23.63,23.63,70.00,gel prduced double bands
,4IR11,5/11/21,5/11/21,5/12/21,5,31.80,1.57,8.43,18.90,118.13,51.98,23.63,23.63,70.00,gel prduced double bands
,9JQ52,5/11/21,5/11/21,5/12/21,5,12.55,3.98,6.02,18.90,118.13,51.98,23.63,23.63,70.00,gel prduced double bands
,9HS50,5/11/21,5/11/21,5/12/21,5,4.21,N/A,N/A,18.90,118.13,51.98,23.63,23.63,70.00,gel prduced double bands
,8BY22,5/11/21,5/11/21,5/12/21,5,6.01,8.32,1.68,18.90,118.13,51.98,23.63,23.63,70.00,gel prduced double bands
,2GT1,5/11/21,5/11/21,5/12/21,5,4.64,N/A,N/A,18.90,118.13,51.98,23.63,23.63,70.00,gel prduced double bands
,2FU39,5/11/21,5/14/21,5/14/21,5,27.30,1.83,8.17,15.75,98.44,43.31,19.69,19.69,70.00,consistent band at 500 bp
,4IR11,5/11/21,5/14/21,5/14/21,5,31.80,1.57,8.43,15.75,98.44,43.31,19.69,19.69,70.00,consistent band at 500 bp
,9JQ52,5/11/21,5/14/21,5/14/21,5,12.55,3.98,6.02,15.75,98.44,43.31,19.69,19.69,70.00,consistent band at 500 bp
,8BY22,5/11/21,5/14/21,5/14/21,5,6.01,8.32,1.68,15.75,98.44,43.31,19.69,19.69,70.00,consistent band at 500 bp
,negative control (water),N/A,5/14/21,5/14/21,5,N/A,N/A,N/A,15.75,98.44,43.31,19.69,19.69,70.00,control showed no contamination
,,,,,,,,,,,,,,,
1,1AZ3,9/15/21,10/13/21,10/21/21,5,9.82,5.091649695,4.908350305,31.50,196.88,86.63,39.38,39.38,70.00,
2,2AZ9,9/7/21,9/23/21,,5,6.75,7.407407407,2.592592593,100.8,630,277.2,126,126,70,
3,2AZ10,N/A,,,5,1.25,40,-30,,,,,,,
4,2AZ20,N/A,,,5,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,
5,2AZ70,9/15/21,9/29/21,,5,7.41,6.747638327,3.252361673,100.8,630,277.2,126,126,70,
6,2AZ1,N/A,,,5,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,
7,3AZ5,N/A,,,5,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,
8,9AZ8,N/A,,,5,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,
9,6BY19,N/A,,,5,2.12,23.58490566,-13.58490566,,,,,,,
10,8BY23,9/7/21,9/29/21,,5,6,8.333333333,1.666666667,100.8,630,277.2,126,126,70,
11,6BY16,???,,,5,6.01,8.319467554,1.680532446,,,,,,,
12,8BY22,9/9/21,9/30/21,10/21/21,5,6.01,8.319467554,1.680532446,100.8,630,277.2,126,126,70,
13,4BY13,N/A,,,5,2.18,22.93577982,-12.93577982,,,,,,,
14,4BY12,9/9/21,10/7/21,10/20/21,5,4.55,10.98901099,-0.989010989,88.2,551.25,242.55,110.25,110.25,70,
15,4BY11,9/9/21,9/30/21,,5,8.84,5.656108597,4.343891403,100.8,630,277.2,126,126,70,
16,2BY10,N/A,,,5,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,
17,0BY49,7/26/21,9/23/21,10/14/21,5,8.02,6.234413965,3.765586035,100.8,630,277.2,126,126,70,
18,0BY46,9/7/21,9/29/21,10/21/21,5,9.05,5.524861878,4.475138122,100.8,630,277.2,126,126,70,
19,9BY35,N/A,,,5,4.18,11.96172249,-1.961722488,,,,,,,
20,9BY40,N/A,,,5,4.37,11.4416476,-1.441647597,,,,,,,
21,9BY28,9/9/21,10/7/21,,5,6.76,7.396449704,2.603550296,88.2,551.25,242.55,110.25,110.25,70,
22,9BY24,9/15/21,10/6/21,,5,6.96,7.183908046,2.816091954,100.8,630,277.2,126,126,70,
23,8CX23,N/A,,,5,1.605,31.15264798,-21.15264798,,,,,,,
24,8CX22,N/A,,,5,2.18,22.93577982,-12.93577982,,,,,,,
25,6CX17,9/7/21,10/7/21,,5,8.4,5.952380952,4.047619048,88.2,551.25,242.55,110.25,110.25,70,
26,6CX20,N/A,,,5,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,
27,4CX14,N/A,,,5,3.69,13.5501355,-3.550135501,,,,,,,
28,2CX9,9/7/21,10/7/21,,5,5.83,8.576329331,1.423670669,88.2,551.25,242.55,110.25,110.25,70,
29,2CX19,9/7/21,9/29/21,,5,8,6.25,3.75,100.8,630,277.2,126,126,70,
30,2CX17,9/9/21,10/7/21,,5,9.79,5.107252298,4.892747702,88.2,551.25,242.55,110.25,110.25,70,
31,0CX1,9/7/21,10/7/21,10/20/21,5,5.3,9.433962264,0.566037736,88.2,551.25,242.55,110.25,110.25,70,
32,0CX48,9/9/21,10/7/21,,5,9.94,5.030181087,4.969818913,88.2,551.25,242.55,110.25,110.25,70,
33,2CX21,7/27/21,9/23/21,,5,9.34,5.353319058,4.646680942,100.8,630,277.2,126,126,70,
34,9CX4,N/A,,,5,3.05,16.39344262,-6.393442623,,,,,,,
35,9CX8,9/14/21,10/6/21,,5,5.53,9.04159132,0.95840868,100.8,630,277.2,126,126,70,
36,9CX17,N/A,,,5,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,
37,6DW17,9/15/21,10/6/21,,5,6.61,7.56429652,2.43570348,100.8,630,277.2,126,126,70,
38,4DW13,N/A,,,5,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,
39,0DW49,7/27/21,9/23/21,,5,6.07,8.23723229,1.76276771,100.8,630,277.2,126,126,70,
40,0DW47,7/26/21,9/23/21,,5,9.28,5.387931034,4.612068966,100.8,630,277.2,126,126,70,
41,2DW35,N/A,,,5,4.18,11.96172249,-1.961722488,,,,,,,
42,2DW42,9/9/21,9/30/21,10/21/21,5,8.32,6.009615385,3.990384615,100.8,630,277.2,126,126,70,
43,2DW43,9/9/21,9/29/21,,5,8.44,5.924170616,4.075829384,100.8,630,277.2,126,126,70,
44,2DW35,,,,5,9.05,5.524861878,4.475138122,,,,,,,
45,9DW36,9/9/21,9/29/21,10/20/21,5,5.49,9.107468124,0.892531876,100.8,630,277.2,126,126,70,
46,9DW4,9/15/21,10/6/21,,5,7.38,6.775067751,3.224932249,100.8,630,277.2,126,126,70,
47,9DW371,N/A,,,5,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,
48,2EV7,7/27/21,9/23/21,10/14/21,5,6.05,8.26446281,1.73553719,100.8,630,277.2,126,126,70,
49,2EV9,9/9/21,10/7/21,,5,7.63,6.553079948,3.446920052,88.2,551.25,242.55,110.25,110.25,70,
50,0EV4,9/7/21,,,5,4.4,11.36363636,-1.363636364,,,,,,,
51,0EV5,7/26/21,9/23/21,,5,9.91,5.045408678,4.954591322,100.8,630,277.2,126,126,70,
52,2EV37,9/15/21,10/13/21,,5,9.82,5.091649695,4.908350305,31.50,196.88,86.63,39.38,39.38,70.00,
53,2EV31,9/15/21,10/6/21,,5,7.76,6.443298969,3.556701031,100.8,630,277.2,126,126,70,
54,6FU18,N/A,,,5,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,
55,FU4,7/27/21,9/23/21,10/14/21,5,7.38,6.775067751,3.224932249,100.8,630,277.2,126,126,70,
56,FU6,9/7/21,10/7/21,,5,8.98,5.567928731,4.432071269,88.2,551.25,242.55,110.25,110.25,70,
57,8GT25,N/A,,,5,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,
58,2GT1,N/A,9/30/21,,5,4.64,10.77586207,-0.775862069,100.8,630,277.2,126,126,70,
59,0GT49,9/9/21,9/30/21,10/21/21,5,6.39,7.824726135,2.175273865,100.8,630,277.2,126,126,70,
60,0GT48,N/A,,,5,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,
61,2GT45,9/9/21,10/7/21,,5,4.64,10.77586207,-0.775862069,88.2,551.25,242.55,110.25,110.25,70,
62,2GT29,9/15/21,10/7/21,,5,5.78,8.650519031,1.349480969,88.2,551.25,242.55,110.25,110.25,70,
63,2GT32,7/27/21,9/23/21,,5,6.52,7.668711656,2.331288344,100.8,630,277.2,126,126,70,
64,9GT33,N/A,,,5,4.47,11.18568233,-1.185682327,,,,,,,
65,9GT28,9/15/21,10/6/21,,5,4.96,10.08064516,-0.080645161,100.8,630,277.2,126,126,70,
66,6HS18,9/7/21,9/29/21,,5,6.51,7.680491551,2.319508449,100.8,630,277.2,126,126,70,
67,6HS16,9/7/21,9/23/21,,5,9.06,5.518763797,4.481236203,100.8,630,277.2,126,126,70,
68,0HS49,9/7/21,9/29/21,10/21/21,5,8.43,5.931198102,4.068801898,100.8,630,277.2,126,126,70,
69,9HS51,N/A,,,5,4.18,11.96172249,-1.961722488,,,,,,,
70,9HS50,N/A,,,5,4.21,11.87648456,-1.876484561,,,,,,,
71,8IR25,7/27/21,10/7/21,10/20/21,5,6.5,7.692307692,2.307692308,88.2,551.25,242.55,110.25,110.25,70,
72,2IR5,9/9/21,9/29/21,,5,8.31,6.016847172,3.983152828,100.8,630,277.2,126,126,70,
73,4IR13,N/A,,,5,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,
74,0IR49,9/9/21,9/30/21,,5,9.74,5.133470226,4.866529774,100.8,630,277.2,126,126,70,
75,2IR33,N/A,,,5,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,
76,9IR10,9/14/21,10/6/21,,5,5.33,9.380863039,0.619136961,100.8,630,277.2,126,126,70,
77,2JQ10,9/15/21,10/6/21,,5,9.34,5.353319058,4.646680942,100.8,630,277.2,126,126,70,
78,2JQ28,9/7/21,9/29/21,,5,8.81,5.675368899,4.324631101,100.8,630,277.2,126,126,70,
79,9JQ39,9/7/21,9/29/21,10/20/21,5,5.07,9.861932939,0.138067061,100.8,630,277.2,126,126,70,
80,9JQ43,9/7/21,10/13/21,10/21/21,5,5.22,9.578544061,0.421455939,,,,,,,
81,1AZ4,9/14/21,9/30/21,10/21/21,5,10.2,4.901960784,5.098039216,100.8,630,277.2,126,126,70,
82,0BY50,9/15/21,10/6/21,,5,10.2,4.901960784,5.098039216,100.8,630,277.2,126,126,70,
83,6DW16,7/26/21,9/23/21,10/14/21,5,10.2,4.901960784,5.098039216,100.8,630,277.2,126,126,70,
84,9DW33,9/9/21,9/29/21,,5,10.3,4.854368932,5.145631068,100.8,630,277.2,126,126,70,
85,1AZ1,7/26/21,9/23/21,,5,10.4,4.807692308,5.192307692,100.8,630,277.2,126,126,70,
86,2JQ37,9/15/21,10/13/21,,5,9.82,5.091649695,4.908350305,31.50,196.88,86.63,39.38,39.38,70.00,
87,1HS39,9/9/21,9/30/21,,5,10.5,4.761904762,5.238095238,100.8,630,277.2,126,126,70,
88,9HS19,9/9/21,9/30/21,,5,10.5,4.761904762,5.238095238,100.8,630,277.2,126,126,70,
89,2BY6,9/9/21,9/30/21,,5,10.5,4.761904762,5.238095238,100.8,630,277.2,126,126,70,
90,0EV2,9/7/21,9/29/21,,5,10.6,4.716981132,5.283018868,100.8,630,277.2,126,126,70,
91,2EV8,9/14/21,9/30/21,,5,10.7,4.672897196,5.327102804,100.8,630,277.2,126,126,70,
92,0CX3,9/7/21,9/23/21,,5,10.8,4.62962963,5.37037037,100.8,630,277.2,126,126,70,
93,2EV44,9/9/21,9/30/21,,5,10.9,4.587155963,5.412844037,100.8,630,277.2,126,126,70,
